,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.65,2.2875,7.225,2.2875,7.225,[0]
1,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.2,4.8125,28.55,4.8125,28.55,[0]
2,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.4875,6.8625,59.625,6.8625,59.625,[0]
3,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.225,10.2625,102.1125,10.2625,22.1125,[0]
4,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.8875,15.325,169.225,15.325,9.225,[0]
5,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.225,20.175,260.6,20.175,20.6,[0]
6,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.025,24.475,374.6625,24.475,54.6625,[0]
7,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.2625,26.725,504.2125,26.725,24.2125,[0]
8,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.45,30.9,651.475,30.9,11.475,[0]
9,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.5375,33.5125,812.85,33.5125,12.85,[0]
