,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,[0],[0],[0],[0],[0],[0],5,10,0.6,2.95,8.0375,2.95,8.0375,[0]
1,[0],10,5,1,100,80,[0],[0],[0],[0],[0],[0],5,10,0.95,6.275,29.8875,6.275,29.8875,[0]
2,[0],10,5,1,100,80,[0],[0],[0],[0],[0],[0],5,10,0.625,8.675,66.7375,8.675,66.7375,[0]
3,[0],10,5,1,100,80,[0],[0],[0],[0],[0],[0],5,10,0.4375,11.2375,117.0,11.2375,37.0,[0]
4,[0],10,5,1,100,80,[0],[0],[0],[0],[0],[0],5,10,1.15,14.6125,182.6625,14.6125,22.6625,[0]
5,[0],10,5,1,100,80,[0],[0],[0],[0],[0],[0],5,10,0.1625,18.8375,270.95,18.8375,30.95,[0]
6,[0],10,5,1,100,80,[0],[0],[0],[0],[0],[0],5,10,0.55,21.35,371.4125,21.35,51.4125,[0]
7,[0],10,5,1,100,80,[0],[0],[0],[0],[0],[0],5,10,1.15,24.5125,486.9375,24.5125,6.9375,[0]
8,[0],10,5,1,100,80,[0],[0],[0],[0],[0],[0],5,10,0.275,26.85,617.0,26.85,57.0,[0]
9,[0],10,5,1,100,80,[0],[0],[0],[0],[0],[0],5,10,1.05,32.1125,766.8125,32.1125,46.8125,[0]
