,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,255,0,0,0.3375,0.3375,0.3375,[0],[0],[0],[0],[0],[0],[0],[0]
1,[0],10,5,1,100,80,255,0,1,1.0375,1.375,1.7125,[0],[0],[0],[0],[0],[0],[0],[0]
2,[0],10,5,1,100,80,255,0,2,0.2125,1.5875,3.3,[0],[0],[0],[0],[0],[0],[0],[0]
3,[0],10,5,1,100,80,255,0,3,0.05,1.6375,4.9375,[0],[0],[0],[0],[0],[0],[0],[0]
4,[0],10,5,1,100,80,255,0,4,0.65,2.2875,7.225,[0],[0],[0],[0],[0],[0],[0],[0]
5,[0],10,5,1,100,80,255,1,0,1.05,3.3375,10.5625,[0],[0],[0],[0],[0],[0],[0],[0]
6,[0],10,5,1,100,80,255,1,1,0.7375,4.075,14.6375,[0],[0],[0],[0],[0],[0],[0],[0]
7,[0],10,5,1,100,80,255,1,2,0.4125,4.4875,19.125,[0],[0],[0],[0],[0],[0],[0],[0]
8,[0],10,5,1,100,80,255,1,3,0.125,4.6125,23.7375,[0],[0],[0],[0],[0],[0],[0],[0]
9,[0],10,5,1,100,80,255,1,4,0.2,4.8125,28.55,[0],[0],[0],[0],[0],[0],[0],[0]
10,[0],10,5,1,100,80,255,2,0,1.0375,5.85,34.4,[0],[0],[0],[0],[0],[0],[0],[0]
11,[0],10,5,1,100,80,255,2,1,0.1375,5.9875,40.3875,[0],[0],[0],[0],[0],[0],[0],[0]
12,[0],10,5,1,100,80,255,2,2,0.0125,6.0,46.3875,[0],[0],[0],[0],[0],[0],[0],[0]
13,[0],10,5,1,100,80,255,2,3,0.375,6.375,52.7625,[0],[0],[0],[0],[0],[0],[0],[0]
14,[0],10,5,1,100,80,255,2,4,0.4875,6.8625,59.625,[0],[0],[0],[0],[0],[0],[0],[0]
15,[0],10,5,1,100,80,255,3,0,0.5375,7.4,67.025,[0],[0],[0],[0],[0],[0],[0],[0]
16,[0],10,5,1,100,80,255,3,1,0.225,7.625,74.65,[0],[0],[0],[0],[0],[0],[0],[0]
17,[0],10,5,1,100,80,255,3,2,0.5375,8.1625,82.8125,[0],[0],[0],[0],[0],[0],[0],[0]
18,[0],10,5,1,100,80,255,3,3,0.875,9.0375,91.85,[0],[0],[0],[0],[0],[0],[0],[0]
19,[0],10,5,1,100,80,255,3,4,1.225,10.2625,102.1125,[0],[0],[0],[0],[0],[0],[0],[0]
20,[0],10,5,1,100,80,255,4,0,1.0125,11.275,113.3875,[0],[0],[0],[0],[0],[0],[0],[0]
21,[0],10,5,1,100,80,255,4,1,1.2375,12.5125,125.9,[0],[0],[0],[0],[0],[0],[0],[0]
22,[0],10,5,1,100,80,255,4,2,1.05,13.5625,139.4625,[0],[0],[0],[0],[0],[0],[0],[0]
23,[0],10,5,1,100,80,255,4,3,0.875,14.4375,153.9,[0],[0],[0],[0],[0],[0],[0],[0]
24,[0],10,5,1,100,80,255,4,4,0.8875,15.325,169.225,[0],[0],[0],[0],[0],[0],[0],[0]
25,[0],10,5,1,100,80,255,5,0,1.15,16.475,185.7,[0],[0],[0],[0],[0],[0],[0],[0]
26,[0],10,5,1,100,80,255,5,1,0.925,17.4,203.1,[0],[0],[0],[0],[0],[0],[0],[0]
27,[0],10,5,1,100,80,255,5,2,0.975,18.375,221.475,[0],[0],[0],[0],[0],[0],[0],[0]
28,[0],10,5,1,100,80,255,5,3,0.575,18.95,240.425,[0],[0],[0],[0],[0],[0],[0],[0]
29,[0],10,5,1,100,80,255,5,4,1.225,20.175,260.6,[0],[0],[0],[0],[0],[0],[0],[0]
30,[0],10,5,1,100,80,255,6,0,0.9,21.075,281.675,[0],[0],[0],[0],[0],[0],[0],[0]
31,[0],10,5,1,100,80,255,6,1,1.2125,22.2875,303.9625,[0],[0],[0],[0],[0],[0],[0],[0]
32,[0],10,5,1,100,80,255,6,2,0.4875,22.775,326.7375,[0],[0],[0],[0],[0],[0],[0],[0]
33,[0],10,5,1,100,80,255,6,3,0.675,23.45,350.1875,[0],[0],[0],[0],[0],[0],[0],[0]
34,[0],10,5,1,100,80,255,6,4,1.025,24.475,374.6625,[0],[0],[0],[0],[0],[0],[0],[0]
35,[0],10,5,1,100,80,255,7,0,0.325,24.8,399.4625,[0],[0],[0],[0],[0],[0],[0],[0]
36,[0],10,5,1,100,80,255,7,1,0.8875,25.6875,425.15,[0],[0],[0],[0],[0],[0],[0],[0]
37,[0],10,5,1,100,80,255,7,2,0.1875,25.875,451.025,[0],[0],[0],[0],[0],[0],[0],[0]
38,[0],10,5,1,100,80,255,7,3,0.5875,26.4625,477.4875,[0],[0],[0],[0],[0],[0],[0],[0]
39,[0],10,5,1,100,80,255,7,4,0.2625,26.725,504.2125,[0],[0],[0],[0],[0],[0],[0],[0]
40,[0],10,5,1,100,80,255,8,0,0.9625,27.6875,531.9,[0],[0],[0],[0],[0],[0],[0],[0]
41,[0],10,5,1,100,80,255,8,1,1.15,28.8375,560.7375,[0],[0],[0],[0],[0],[0],[0],[0]
42,[0],10,5,1,100,80,255,8,2,0.55,29.3875,590.125,[0],[0],[0],[0],[0],[0],[0],[0]
43,[0],10,5,1,100,80,255,8,3,1.0625,30.45,620.575,[0],[0],[0],[0],[0],[0],[0],[0]
44,[0],10,5,1,100,80,255,8,4,0.45,30.9,651.475,[0],[0],[0],[0],[0],[0],[0],[0]
45,[0],10,5,1,100,80,255,9,0,0.1875,31.0875,682.5625,[0],[0],[0],[0],[0],[0],[0],[0]
46,[0],10,5,1,100,80,255,9,1,0.45,31.5375,714.1,[0],[0],[0],[0],[0],[0],[0],[0]
47,[0],10,5,1,100,80,255,9,2,0.725,32.2625,746.3625,[0],[0],[0],[0],[0],[0],[0],[0]
48,[0],10,5,1,100,80,255,9,3,0.7125,32.975,779.3375,[0],[0],[0],[0],[0],[0],[0],[0]
49,[0],10,5,1,100,80,255,9,4,0.5375,33.5125,812.85,[0],[0],[0],[0],[0],[0],[0],[0]
