,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.4125,2.0875,5.9875,2.0875,5.9875,[0]
1,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.1125,4.4125,21.85,4.4125,21.85,[0]
2,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.075,8.2,55.8625,8.2,55.8625,[0]
3,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.875,12.025,108.1625,12.025,28.1625,[0]
4,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.075,16.3,181.45,16.3,21.45,[0]
5,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.8875,20.0125,274.275,20.0125,34.275,[0]
6,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.0375,23.475,383.6875,23.475,63.6875,[0]
7,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.25,26.15,508.5125,26.15,28.5125,[0]
8,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.1375,30.3875,652.0625,30.3875,12.0625,[0]
9,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.875,32.5875,808.7875,32.5875,8.7875,[0]
