,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,355,[0],[0],[0],[0],[0],5,10,0.8125,4.9125,15.7375,4.9125,15.7375,[0]
1,[0],10,5,1,100,80,355,[0],[0],[0],[0],[0],5,10,0.525,8.2,49.25,8.2,49.25,[0]
2,[0],10,5,1,100,80,355,[0],[0],[0],[0],[0],5,10,0.325,11.35,100.3625,11.35,20.3625,[0]
3,[0],10,5,1,100,80,355,[0],[0],[0],[0],[0],5,10,0.975,14.825,166.6,14.825,6.6,[0]
4,[0],10,5,1,100,80,355,[0],[0],[0],[0],[0],5,10,0.6625,16.7375,246.3125,16.7375,6.3125,[0]
5,[0],10,5,1,100,80,355,[0],[0],[0],[0],[0],5,10,0.125,19.125,336.925,19.125,16.925,[0]
6,[0],10,5,1,100,80,355,[0],[0],[0],[0],[0],5,10,0.375,21.7875,441.875,21.7875,41.875,[0]
7,[0],10,5,1,100,80,355,[0],[0],[0],[0],[0],5,10,0.7875,25.9,562.2875,25.9,2.2875,[0]
8,[0],10,5,1,100,80,355,[0],[0],[0],[0],[0],5,10,0.225,28.7375,700.2625,28.7375,60.2625,[0]
9,[0],10,5,1,100,80,355,[0],[0],[0],[0],[0],5,10,0.5875,31.8625,853.375,31.8625,53.375,[0]
