,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.2125,2.5875,8.8,2.5875,8.8,[0]
1,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.7875,6.2,33.5375,6.2,33.5375,[0]
2,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.1,10.3875,75.2875,10.3875,75.2875,[0]
3,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.875,14.5375,139.6,14.5375,59.6,[0]
4,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.6875,16.75,218.625,16.75,58.625,[0]
5,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.9875,20.1375,311.0875,20.1375,71.0875,[0]
6,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.775,23.7,421.125,23.7,21.125,[0]
7,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.35,26.7875,550.3125,26.7875,70.3125,[0]
8,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.4125,30.8125,698.1875,30.8125,58.1875,[0]
9,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.2125,33.2125,859.8375,33.2125,59.8375,[0]
