,INDEX_Results,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B
0,[0],10,5,1,100,80,255,0,0,0.625,0.625,0.625
1,[0],10,5,1,100,80,255,0,1,0.5625,1.1875,1.8125
2,[0],10,5,1,100,80,255,0,2,0.6,1.7875,3.6
3,[0],10,5,1,100,80,255,0,3,0.425,2.2125,5.8125
4,[0],10,5,1,100,80,255,0,4,0.75,2.9625,8.775
5,[0],10,5,1,100,80,255,1,0,0.1625,3.125,11.9
6,[0],10,5,1,100,80,255,1,1,0.5375,3.6625,15.5625
7,[0],10,5,1,100,80,255,1,2,0.325,3.9875,19.55
8,[0],10,5,1,100,80,255,1,3,0.9375,4.925,24.475
9,[0],10,5,1,100,80,255,1,4,0.725,5.65,30.125
10,[0],10,5,1,100,80,255,2,0,0.625,6.275,36.4
11,[0],10,5,1,100,80,255,2,1,1.225,7.5,43.9
12,[0],10,5,1,100,80,255,2,2,1.125,8.625,52.525
13,[0],10,5,1,100,80,255,2,3,1.1125,9.7375,62.2625
14,[0],10,5,1,100,80,255,2,4,0.4125,10.15,72.4125
15,[0],10,5,1,100,80,255,3,0,0.725,10.875,83.2875
16,[0],10,5,1,100,80,255,3,1,0.6875,11.5625,94.85
17,[0],10,5,1,100,80,255,3,2,1.1,12.6625,107.5125
18,[0],10,5,1,100,80,255,3,3,0.15,12.8125,120.325
19,[0],10,5,1,100,80,255,3,4,0.4,13.2125,133.5375
20,[0],10,5,1,100,80,255,4,0,0.45,13.6625,147.2
21,[0],10,5,1,100,80,255,4,1,1.225,14.8875,162.0875
22,[0],10,5,1,100,80,255,4,2,1.075,15.9625,178.05
23,[0],10,5,1,100,80,255,4,3,0.35,16.3125,194.3625
24,[0],10,5,1,100,80,255,4,4,0.3375,16.65,211.0125
25,[0],10,5,1,100,80,255,5,0,0.7,17.35,228.3625
26,[0],10,5,1,100,80,255,5,1,0.0125,17.3625,245.725
27,[0],10,5,1,100,80,255,5,2,0.525,17.8875,263.6125
28,[0],10,5,1,100,80,255,5,3,0.15,18.0375,281.65
29,[0],10,5,1,100,80,255,5,4,0.3875,18.425,300.075
30,[0],10,5,1,100,80,255,6,0,0.45,18.875,318.95
31,[0],10,5,1,100,80,255,6,1,1.1,19.975,338.925
32,[0],10,5,1,100,80,255,6,2,0.3,20.275,359.2
33,[0],10,5,1,100,80,255,6,3,0.6125,20.8875,380.0875
34,[0],10,5,1,100,80,255,6,4,0.4375,21.325,401.4125
35,[0],10,5,1,100,80,255,7,0,0.075,21.4,422.8125
36,[0],10,5,1,100,80,255,7,1,1.2125,22.6125,445.425
37,[0],10,5,1,100,80,255,7,2,0.9,23.5125,468.9375
38,[0],10,5,1,100,80,255,7,3,1.2375,24.75,493.6875
39,[0],10,5,1,100,80,255,7,4,1.0375,25.7875,519.475
40,[0],10,5,1,100,80,255,8,0,1.1,26.8875,546.3625
41,[0],10,5,1,100,80,255,8,1,1.0375,27.925,574.2875
42,[0],10,5,1,100,80,255,8,2,0.4875,28.4125,602.7
43,[0],10,5,1,100,80,255,8,3,0.3625,28.775,631.475
44,[0],10,5,1,100,80,255,8,4,0.5875,29.3625,660.8375
45,[0],10,5,1,100,80,255,9,0,0.1625,29.525,690.3625
46,[0],10,5,1,100,80,255,9,1,0.7375,30.2625,720.625
47,[0],10,5,1,100,80,255,9,2,0.1125,30.375,751.0
48,[0],10,5,1,100,80,255,9,3,0.4375,30.8125,781.8125
49,[0],10,5,1,100,80,255,9,4,0.1,30.9125,812.725
